case_id,flux_family,noise_level,sensor_count,sensor_layout,time_resolution,seed,variant_name,flux_l2_error,flux_relative_l2_error,flux_rmse,flux_peak_error,flux_correlation,replay_rmse,replay_relative_error,replay_max_abs_error,roughness_l1,roughness_l2,oscillation_score,sign_flip_count,physical_violation_count,within_bounds_flag,final_decision,success_flag,weak_pass_flag,manual_review_flag,failure_flag,iteration_count,replanning_count,runtime_sec,final_lambda,final_reg_order,final_variant_name,initial_to_final_improvement,last_verifier_decision
case_0005,step,1.0,2,"0.01,0.03",1.0,42,fixed_reg_order_2,121203.99840403558,0.2629283886323911,11018.54530945778,26405.57413376951,0.8770106733089126,1.0080848162960911,0.0466102352502734,2.935767601578277,65606.52848577735,15316.406858478102,2.3571186241065178e-05,1,0,True,weak_pass,1,1,0,0,1,0,0.0596876787021756,3.088615545179044e-05,2,fixed_reg_order_2,0.0,weak_pass
case_0005,step,1.0,2,"0.01,0.03",1.0,42,full_agent_baseline,108387.7599089923,0.2351260637899628,9853.432718999302,25483.594131145885,0.9137073778907316,1.003022745927452,0.0463761832271484,2.8866625298335293,47806.24384410861,13164.63761704218,0.000166906892104,0,0,True,weak_pass,1,1,0,0,1,0,0.0659285108558833,7.288618329537238e-07,1,full_agent_baseline,0.0,weak_pass
case_0005,step,1.0,2,"0.01,0.03",1.0,42,no_bounds,108387.7599089923,0.2351260637899628,9853.432718999302,25483.594131145885,0.9137073778907316,1.003022745927452,0.0463761832271484,2.8866625298335293,47806.24384410861,13164.63761704218,0.000166906892104,0,0,True,weak_pass,1,1,0,0,1,0,0.0600597891025245,7.288618329537238e-07,1,no_bounds,0.0,weak_pass
case_0005,step,1.0,2,"0.01,0.03",1.0,42,no_replanner,108387.7599089923,0.2351260637899628,9853.432718999302,25483.594131145885,0.9137073778907316,1.003022745927452,0.0463761832271484,2.8866625298335293,47806.24384410861,13164.63761704218,0.000166906892104,0,0,True,weak_pass,1,1,0,0,1,0,0.060287008062005,7.288618329537238e-07,1,no_replanner,0.0,weak_pass
case_0005,step,1.0,2,"0.01,0.03",1.0,42,no_verifier,108387.7599089923,0.2351260637899628,9853.432718999302,25483.594131145885,0.9137073778907316,1.003022745927452,0.0463761832271484,2.8866625298335293,47806.24384410861,13164.63761704218,0.000166906892104,0,0,True,pass,1,0,0,0,1,0,0.0607995740137994,7.288618329537238e-07,1,no_verifier,0.0,pass
case_0006,step,1.0,2,"0.01,0.03",1.0,123,fixed_lambda_ablation,255722.2334250632,0.5547394117130822,23247.47576591483,30888.422567790323,0.8505408110269416,2.448847074012644,0.1164189423980074,7.6753184614680094,8.831375453155488e-07,2.139938858823959e-07,3.987754472805818e-26,0,0,True,fail,0,0,0,1,9,8,0.4610136169940233,390625.0,1,fixed_lambda_ablation,-4.965875072912439e-06,fail
case_0006,step,1.0,2,"0.01,0.03",1.0,123,fixed_reg_order_0,122489.44324964075,0.2657169100209687,11135.403931785522,34066.18324687834,0.8837649737029654,1.006287233746131,0.0478392043115127,2.905736733872516,111727.31462708784,31444.64670467681,0.0199144095494246,0,0,True,weak_pass,1,1,0,0,1,0,0.0605460279621183,9.211707177659636e-09,0,fixed_reg_order_0,0.0,weak_pass
case_0006,step,1.0,2,"0.01,0.03",1.0,123,fixed_reg_order_2,100358.12211750516,0.2177073337677099,9123.465647045923,28099.947299494983,0.9171308571349174,1.0015818741572229,0.0476155100707591,3.1379070315351782,70576.63466105913,18151.789437296407,0.0001463197515303,1,0,True,weak_pass,1,1,0,0,1,0,0.0607452006079256,1.859622832800086e-06,2,fixed_reg_order_2,0.0,weak_pass
case_0006,step,1.0,2,"0.01,0.03",1.0,123,full_agent_baseline,91152.44560469364,0.1977374175631634,8286.585964063059,26210.12774369136,0.9351242117678796,0.996879008534764,0.0473919343939368,3.2799960578512355,55268.69005492095,16396.37108606935,0.0003908132217639,1,0,True,weak_pass,1,1,0,0,1,0,0.0605056043714284,2.090606650064445e-07,1,full_agent_baseline,0.0,weak_pass
case_0006,step,1.0,2,"0.01,0.03",1.0,123,no_bounds,91152.44560469364,0.1977374175631634,8286.585964063059,26210.12774369136,0.9351242117678796,0.996879008534764,0.0473919343939368,3.2799960578512355,55268.69005492095,16396.37108606935,0.0003908132217639,1,0,True,weak_pass,1,1,0,0,1,0,0.0606412617489695,2.090606650064445e-07,1,no_bounds,0.0,weak_pass
case_0006,step,1.0,2,"0.01,0.03",1.0,123,no_replanner,91152.44560469364,0.1977374175631634,8286.585964063059,26210.12774369136,0.9351242117678796,0.996879008534764,0.0473919343939368,3.2799960578512355,55268.69005492095,16396.37108606935,0.0003908132217639,1,0,True,weak_pass,1,1,0,0,1,0,0.0610902579501271,2.090606650064445e-07,1,no_replanner,0.0,weak_pass
case_0006,step,1.0,2,"0.01,0.03",1.0,123,no_verifier,91152.44560469364,0.1977374175631634,8286.585964063059,26210.12774369136,0.9351242117678796,0.996879008534764,0.0473919343939368,3.2799960578512355,55268.69005492095,16396.37108606935,0.0003908132217639,1,0,True,pass,1,0,0,0,1,0,0.060755749233067,2.090606650064445e-07,1,no_verifier,0.0,pass
case_0007,ramp,0.1,2,"0.01,0.03",1.0,42,fixed_lambda_ablation,270647.06564265443,0.5315919278351133,24604.278694786764,47946.5909594994,0.985151677196898,2.24763928564843,0.1049214461619886,6.7096477511236685,9.4197821454145e-07,2.2365572592891097e-07,3.6673114654456913e-26,0,0,True,fail,0,0,0,1,9,8,0.4601331888698041,390625.0,1,fixed_lambda_ablation,-6.436313808295078e-06,fail
case_0007,ramp,0.1,2,"0.01,0.03",1.0,42,fixed_reg_order_0,71216.01680312562,0.1398790693526178,6474.183345738692,29703.267081522128,0.9625415360666209,0.1066557392153035,0.0049787679328256,0.6134027533642552,106150.66863283524,34085.39114821722,0.0328088934894901,0,0,True,weak_pass,1,1,0,0,1,0,0.0600428488105535,7.57869381196801e-10,0,fixed_reg_order_0,0.0,weak_pass
case_0007,ramp,0.1,2,"0.01,0.03",1.0,42,fixed_reg_order_2,10623.512334988598,0.0208661911376239,965.7738486353268,2203.190172446266,0.9991571910361516,0.0889846637855409,0.0041538692041164,0.2908590841700516,76390.35273231642,15928.489639650692,7.24631978037459e-16,0,0,True,weak_pass,1,1,0,0,1,0,0.0598466619849205,0.0757869381196803,2,fixed_reg_order_2,0.0,weak_pass
case_0007,ramp,0.1,2,"0.01,0.03",1.0,42,full_agent_baseline,21742.692892194333,0.0427059499183678,1976.60844474494,8063.479095306757,0.99720331616839,0.099349937945293,0.0046377277848285,0.3784381103392888,67476.71902197126,14641.885199016082,8.602861534933316e-05,0,0,True,weak_pass,1,1,0,0,1,0,0.0601416267454624,4.388400196433952e-08,1,full_agent_baseline,0.0,weak_pass
